word,freq
ที่,818401
การ,592215
เป็น,540068
ใน,537625
ของ,506330
มี,506262
จะ,501396
และ,468061
ไม่,451329
ได้,396834
ให้,360576
ว่า,358490
ไป,352022
มา,315379
ก็,299288
ๆ,271615
ความ,231010
คน,221819
กับ,196878
แล้ว,192744
อยู่,184734
หรือ,184609
จาก,174525
กัน,173695
นี้,173308
แต่,169768
อย่าง,156157
ต้อง,152510
ด้วย,144396
ขึ้น,143305
เขา,141837
นั้น,134946
ผู้,121586
ซึ่ง,120265
ตาม,114648
มาก,111404
โดย,110909
ใช้,110770
ทาง,104563
เรื่อง,103427
เรา,102447
ยัง,102256
ทำ,94750
เพื่อ,93645
ผม,90531
อีก,90503
หนึ่ง,90209
เมื่อ,90199
ถึง,88476
เข้า,87806
เพราะ,85265
ดี,85148
ออก,82392
ฉัน,81848
เกิด,79480
คือ,79033
เห็น,78345
จึง,75102
ทำให้,73165
กว่า,71659
ไทย,70683
ไว้,70221
ปี,70030
ตัว,70019
เธอ,68939
คุณ,67667
ต่อ,66488
ทั้ง,66397
มัน,66038
เลย,65908
ถ้า,63774
อะไร,62024
เวลา,61626
ลง,61595
ต่าง,59696
ส่วน,59284
ประเทศ,58922
อาจ,57923
แบบ,55683
ถูก,55664
ทุก,54869
วัน,54759
ก่อน,52620
เช่น,50919
อื่น,50908
ดู,50723
ครั้ง,48784
รู้,48402
เอา,47515
สอง,46778
นำ,46183
งาน,45485
นะ,44572
นาย,44561
สามารถ,44560
หน้า,44148
บอก,43681
กลับ,43633
แห่ง,43337
บาง,42283
ได้รับ,42021
จน,41261
ด้าน,41108
คิด,40248
เด็ก,40241
ชีวิต,40221
สิ่ง,39837
พระ,39639
เหมือน,39602
พูด,38343
รับ,38331
หลาย,38329
บ้าน,38158
ใหม่,37988
เคย,37711
นี่,37600
กลุ่ม,37556
ปัญหา,37408
สังคม,37149
ใคร,36559
หา,36050
คำ,35709
อยาก,35093
ใด,35065
เสียง,34739
คง,34381
มอง,34332
